Squad,Comp,avg_workload_index,avg_injury_risk_score,num_players
Manchester City,eng Premier League,55.14543789048008,41.089693582424005,23
Paris S-G,fr Ligue 1,52.4686958497169,39.030234770553406,20
Bayern Munich,de Bundesliga,49.06676262596689,36.90526622673298,21
Real Madrid,es La Liga,48.879267298217705,37.57099292977106,20
Juventus,it Serie A,46.40755200155926,33.47844567722366,24
Barcelona,es La Liga,46.18593364996295,33.99956433887128,21
Atlético Madrid,es La Liga,42.93184732451257,29.242719783798893,21
Atalanta,it Serie A,42.640208793394315,29.5771652587148,18
Tottenham,eng Premier League,41.77223367808976,31.1739359792718,25
Dortmund,de Bundesliga,41.40886415115745,31.053447869638262,18
Marseille,fr Ligue 1,41.32819750575365,30.8989198566207,20
Liverpool,eng Premier League,41.245897366175754,29.94404169407345,19
Brighton,eng Premier League,40.97761091151992,30.02774866938729,21
Lyon,fr Ligue 1,40.854636798945556,29.970622321345957,20
Girona,es La Liga,40.7902833281268,30.44706478978129,22
Lille,fr Ligue 1,39.900329174405265,29.13685515871071,20
Arsenal,eng Premier League,39.771951246011824,28.179630753481444,21
Celta Vigo,es La Liga,39.70011427201828,27.93521811324528,23
Milan,it Serie A,39.40265499344574,29.385296161917264,22
Inter,it Serie A,39.30941962778382,27.77084309222869,22
Chelsea,eng Premier League,38.99710739032017,31.055421125709543,18
Fulham,eng Premier League,38.22787273597751,27.23491138863461,19
Lazio,it Serie A,37.551412602228126,27.633111325356065,21
Aston Villa,eng Premier League,37.43480888126387,28.025815430594577,21
Nice,fr Ligue 1,37.28337681121563,27.23083758162495,20
Manchester Utd,eng Premier League,37.260006567330144,28.102789893513584,20
Napoli,it Serie A,37.03347932663221,28.69278940613175,17
Monaco,fr Ligue 1,36.570167662948414,26.586650004330235,21
Reims,fr Ligue 1,36.54386791548349,27.202456881571013,19
Newcastle Utd,eng Premier League,35.464195603349744,28.22686296462882,16
Roma,it Serie A,35.39478874222502,24.476756908300825,20
Rennes,fr Ligue 1,35.37806008595171,26.97953535912644,25
Villarreal,es La Liga,35.298588376401625,25.158184457154356,22
Leverkusen,de Bundesliga,35.14669066465177,27.091647664038444,19
Stuttgart,de Bundesliga,34.8831375669444,26.165975978356943,18
Betis,es La Liga,34.854507544840125,25.822809264236184,24
Bournemouth,eng Premier League,34.426526136178374,26.39799667799358,19
Real Sociedad,es La Liga,34.29165698035969,24.78342049104858,22
Wolves,eng Premier League,34.22277794958958,25.046651181865183,21
Fiorentina,it Serie A,33.17565313319973,23.16196587128873,21
Gladbach,de Bundesliga,33.0210223062952,23.962502028315395,19
Como,it Serie A,32.767562360188464,24.85145766281411,24
Eint Frankfurt,de Bundesliga,32.67789166244648,24.983450089143115,18
Monza,it Serie A,32.05849888995068,24.2599983111711,24
Bologna,it Serie A,31.43688104678306,22.576471638055292,24
Strasbourg,fr Ligue 1,31.36051183616277,26.19717322883299,17
Leicester City,eng Premier League,31.305349090497067,22.86433464202137,22
Sevilla,es La Liga,31.2150350207233,22.457291831822925,20
Werder Bremen,de Bundesliga,31.1159356996434,23.24722112481281,18
Lens,fr Ligue 1,31.05042619361029,24.128453955291832,24
Athletic Club,es La Liga,31.026434112147005,22.72631167126747,23
RB Leipzig,de Bundesliga,31.026334105939544,23.23879622248206,19
Montpellier,fr Ligue 1,30.932253624653775,23.61753222681777,23
Southampton,eng Premier League,30.653794905073998,23.12879420367632,22
Brest,fr Ligue 1,30.58536784488924,22.52349087436064,20
Brentford,eng Premier League,30.350699934271944,23.5110101429052,17
Torino,it Serie A,30.22998272289881,22.21709639715397,22
Saint-Étienne,fr Ligue 1,29.83613206354563,21.751321364790297,22
Parma,it Serie A,29.576369718279008,20.975993261834255,23
Udinese,it Serie A,29.26704546119709,21.846849299083928,22
Toulouse,fr Ligue 1,29.21280177741625,22.369202616451425,19
Le Havre,fr Ligue 1,29.102715622672687,21.89558957399206,24
Valencia,es La Liga,29.05861747060777,21.187959189315603,20
Las Palmas,es La Liga,28.793842792586688,20.080771506577953,23
Heidenheim,de Bundesliga,28.782653558814037,21.086428066015106,19
West Ham,eng Premier League,28.52284420585736,21.116200842813285,21
Valladolid,es La Liga,27.694411813123,20.408806687785706,26
Angers,fr Ligue 1,27.615845934066073,20.461753949445832,19
Venezia,it Serie A,27.590265116159316,21.601346494933935,25
Nott'ham Forest,eng Premier League,27.11959429810373,20.582155150242745,16
Rayo Vallecano,es La Liga,27.055008091937154,19.418465355412575,21
Lecce,it Serie A,26.824239788951257,18.80848389022003,20
Auxerre,fr Ligue 1,26.823068727731112,20.148562598671496,19
Hoffenheim,de Bundesliga,26.544983444994724,19.954064576874462,22
Freiburg,de Bundesliga,26.542916599642897,20.13187367794892,19
Osasuna,es La Liga,26.19678660210073,19.14490331958469,18
Augsburg,de Bundesliga,26.00406180315638,19.603451674970763,19
Ipswich Town,eng Premier League,25.952203636917194,19.102998884705148,24
Genoa,it Serie A,25.84951678815532,19.347819882223657,21
Espanyol,es La Liga,25.749429779069168,18.036819616999367,22
Nantes,fr Ligue 1,25.609450415866533,20.75489866323842,19
Mallorca,es La Liga,25.57478874710563,19.255192469308312,20
Crystal Palace,eng Premier League,25.42339455281773,18.735275671176293,18
Cagliari,it Serie A,25.129035565967264,18.720265970291432,20
St. Pauli,de Bundesliga,24.938485960042705,20.363041711853004,18
Wolfsburg,de Bundesliga,24.908224654935722,18.570215237382445,21
Everton,eng Premier League,24.634140167153316,18.995104242412648,19
Leganés,es La Liga,24.56099793597847,18.49006478517868,20
Mainz 05,de Bundesliga,23.663371872800752,18.145921462445607,18
Hellas Verona,it Serie A,23.011551400770575,16.31645803333767,23
Alavés,es La Liga,22.665595730829537,16.918535063230497,22
Union Berlin,de Bundesliga,22.201757797231885,16.085545263875133,22
Bochum,de Bundesliga,21.69038440356552,16.760259774003067,20
Holstein Kiel,de Bundesliga,21.61055346068487,16.278677827512,22
Empoli,it Serie A,21.491617938052958,16.802276719982874,19
Getafe,es La Liga,17.936286447787985,13.155767373814625,22
